८३वाँ	_modifies_noun	पुष्टता
अरग	_modifies_noun	उनतालीस
अभिनिर्दिष्ट	_modifies_noun	ताल-मेल
दक्षिण_२४_परगना_जिला	_modifies_noun	ताल-मेल
कुक्कुरखाँसी	_modifies_noun	पुष्टता
फ़्रांस	_modifies_noun	वल्वग
बरारी	_modifies_noun	उनतालीस
धर्मसुधारक	_modifies_noun	पुष्टता
धुलना	_modifies_noun	वल्वग
अनुकूल	_modifies_noun	बिलल्ला
द्युतान_ऋषि	_modifies_noun	श्वेतकांडा
गोराचिट्टा	_modifies_noun	उनतालीस
क्लमल	_modifies_noun	ताल-मेल
गोपिनी	_modifies_noun	ताल-मेल
खँड़सार	_modifies_noun	पुष्टता
ब्यूरो	_modifies_noun	पुष्टता
जायकेदार	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
अजन्मजात	_modifies_noun	पुष्टता
कटक_ज़िला	_modifies_noun	पुष्टता
तातार_भाषा	_modifies_noun	अतृप्त
मुँह-देखनी	_modifies_noun	मांगन_शहर
निम्न_वंश	_modifies_noun	पुष्टता
बरवै	_modifies_noun	पुष्टता
उचराई	_modifies_noun	ताल-मेल
प्लंबरी	_modifies_noun	उनतालीस
वेण्णा	_modifies_noun	बिलल्ला
प्रायद्वीपीय	_modifies_noun	पुष्टता
आकाशबेल	_modifies_noun	पुष्टता
काल्पनिक_प्राणी	_modifies_noun	ताल-मेल
रायगंज_शहर	_modifies_noun	पुष्टता
निछावर_होना	_modifies_noun	ब्रह्मरेख
आत्मशक्ति	_modifies_noun	पुष्टता
फ़िरोज़ाबाद_शहर	_modifies_noun	पुष्टता
महर्षि	_modifies_noun	सँभलना
बरौरी	_modifies_noun	अतृप्त
उत्कीर्ण-मूर्ति	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
एड़_लगाना	_modifies_noun	पुष्टता
नलिका	_modifies_noun	पुष्टता
गन्धसफेदा	_modifies_noun	आपसदारी
अपचाल	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
पीलुनी	_modifies_noun	पुष्टता
शुरू_करना	_modifies_noun	उन्नीसवीं
उँजेरा	_verb	सलवार_कुरता
प्रिय	_modifies_noun	ताल-मेल
निछावर_होना	_modifies_noun	पुष्टता
खोंपा	_modifies_noun	ताल-मेल
कोणीय	_modifies_noun	पुष्टता
तुषार	_modifies_noun	वल्वग
गज्जूह	_modifies_noun	पुष्टता
दिनौंधा	_modifies_noun	पुष्टता
परोक्ष_रूप	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
दत्तक_पुत्र	_modifies_noun	पुष्टता
बुल्गारिया_गणराज्य	_modifies_noun	पुष्टता
नए_सिरे_से	_modifies_noun	पुष्टता
मुड़ा-तुड़ा	_verb	अभिरना
अरसौहाँ	_modifies_noun	उनतालीस
परश	_modifies_noun	उनतालीस
ताप_की_लहर	_verb	धाव_पट्टी
बागेश्वर_शहर	_modifies_noun	ताल-मेल
अविवादित	_modifies_noun	ताल-मेल
शालावृक	_modifies_noun	ताल-मेल
सूर्य-किरण	_modifies_noun	पुष्टता
अध्याग्नि	_modifies_noun	भगा_देना
श्रीलता	_modifies_noun	अतृप्त
डोडा	_modifies_noun	ताल-मेल
रञ्जन	_modifies_noun	उनतालीस
कोंचा	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
पुसाना	_modifies_noun	उनतालीस
राजघाट	_modifies_noun	उनतालीस
तावा	_modifies_noun	ताल-मेल
प्रोत्साहित	_modifies_noun	उनतालीस
चोर-मिहीचनी	_modifies_noun	अतृप्त
पेट्रोलियम_मंत्री	_modifies_noun	ताल-मेल
यूक्रेनियन	_modifies_noun	उनतालीस
चमीकर	_modifies_noun	पुष्टता
प्रतिधावन	_modifies_noun	बिलल्ला
वेण	_modifies_noun	पुष्टता
तबक	_modifies_noun	साओ_टोम_और_प्रींसिपे_जनतांत्रिक_गणराज्य
त्रिपुरी_भाषा	_modifies_noun	बिलल्ला
श्राप_देना	_modifies_noun	पुष्टता
सवैया	_modifies_noun	श्वेतकांडा
शिलाहरि	_modifies_noun	ताल-मेल
इन्तकाम	_modifies_noun	उनतालीस
लीख	_modifies_noun	निरालंब
वियंग	_modifies_noun	पुष्टता
जालंधर_जिला	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
मार्जालीय_ऋषि	_modifies_noun	पुष्टता
चीनी	_modifies_noun	पुष्टता
नियमोल्लंघन	_modifies_noun	पुष्टता
प्री-क्वार्टरफाइनल	_modifies_noun	पुष्टता
कुदिन	_modifies_noun	पुष्टता
म्यूचुअल_फंड	_modifies_noun	पुष्टता
कालिंजर	_modifies_noun	ताल-मेल
जीवनीकार	_modifies_noun	बिलल्ला
फ़्रैन्च	_modifies_noun	पुष्टता
हाई_कोर्ट	_modifies_noun	उसी_तरह
अरम्भना	_modifies_noun	पर्णकार
कमन्द	_modifies_noun	उनतालीस
अष्टगन्ध	_modifies_noun	ताल-मेल
चंपावत_शहर	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
हथपान	_modifies_noun	उनतालीस
रिश्तेदारी	_modifies_noun	अभिस्यन्दी
अभियुक्ति	_modifies_noun	पुष्टता
अभवितव्यता	_modifies_noun	श्वेतकांडा
तर-बतर	_modifies_noun	ब्रह्मरेख
शुण्डिमूषिका	_verb	धाव_पट्टी
सन्तान_सम्पन्न	_modifies_noun	पुष्टता
अवकम्पित	_modifies_noun	रणभूमि
एकान्तहीन	_modifies_noun	अतृप्त
ईश्वर-परायण	_modifies_noun	बिलल्ला
कर्णाट_राग	_modifies_noun	ब्रह्मरेख
बरुण्डीवासी	_modifies_noun	आत्मसंतुष्ट
अरुनार	_modifies_noun	अतृप्त
सौत	_modifies_noun	ताल-मेल
पीर	_modifies_noun	अंधियार-कोठरी
अंडमान_निकोबार	_modifies_noun	पुष्टता
दिसपुर	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
राष्ट्रीय_सलाहकार_समिति	_modifies_noun	पुष्टता
मशक्कत_करना	_modifies_noun	सूरत_जिला
_इन्टरनेट_सेवा_दाता	_modifies_noun	सिन्धुलताग्र
अन्याय	_modifies_noun	हरेक
गौरवहीन	_modifies_noun	पुष्टता
पुलिरिक	_modifies_noun	ब्रह्मरेख
चमोली_जिला	_verb	धाव_पट्टी
रङ्गवल्लिका	_modifies_noun	ब्रह्मरेख
पापलोक्य	_modifies_noun	ब्रह्मरेख
एकाग्रपूर्णता	_modifies_noun	पुष्टता
ध्वान्तशत्रु	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
कचाटोर	_modifies_noun	ताल-मेल
संवरण	_modifies_noun	उनतालीस
उम्मीद	_verb	धाव_पट्टी
इकांत	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
पेलीकान	_modifies_noun	उनतालीस
उँचास	_modifies_noun	उनतालीस
अखाद्य_वस्तु	_modifies_noun	पुष्टता
सरकारी_खजाना	_modifies_noun	उनतालीस
इंद्रियारामी	_modifies_noun	सूरत_जिला
ग्राम-पंचायत	_verb	अभिरना
मैमथ	_modifies_noun	भगा_देना
तितिक्षु	_modifies_noun	उनतालीस
उपाध्यक्ष	_modifies_noun	पुष्टता
करोड़पति	_modifies_noun	पुष्टता
तोड़ा	_modifies_noun	ताल-मेल
थरहराना	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
पूना_जिला	_modifies_noun	पुष्टता
संबंधीय	_modifies_noun	पुष्टता
महाक्ष	_modifies_noun	उनतालीस
डी_एन_ए	_verb	अभिज्ञान
रामनौमी	_modifies_noun	पुष्टता
रुकमंजनी	_modifies_noun	चंद्राकार
अस्वीकारात्मक	_modifies_noun	पुष्टता
फिलिपीन_भाषा	_modifies_noun	पुष्टता
बगावत_करना	_modifies_noun	मांगन_शहर
कौरव	_modifies_noun	सिन्धुलताग्र
भूमि	_modifies_noun	ताल-मेल
कांस्यकार	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
बुद्धिमत्ता	_modifies_noun	उनतालीस
धकियवाना	_modifies_noun	नटनारायण_राग
मालिनी_नदी	_verb	धाव_पट्टी
बुढ़ियाबैठक	_modifies_noun	ताल-मेल
लेखन_सामग्री	_modifies_noun	ताल-मेल
क्लीन_बोल्ड	_modifies_noun	इकतारा
रुदन	_modifies_noun	पुष्टता
मंजिका	_modifies_noun	पुष्टता
ध्यान_से	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
सिद्धान्त	_modifies_noun	मांगन_शहर
सेंट्रल_स्टटिस्टिकल_ऑफिस	_modifies_noun	अतृप्त
रन_आउट	_modifies_noun	उनतालीस
नन्दनवन	_modifies_noun	पुष्टता
ला-वारिस	_modifies_noun	बिलल्ला
सामंजस्यहीन	_modifies_noun	ब्रह्मरेख
_पेट_पूजा	_modifies_noun	ताल-मेल
झांझर	_modifies_noun	पुष्टता
शुभ-काल	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
आलपिन	_modifies_noun	इकतारा
गडचिरोली_ज़िला	_modifies_noun	उनतालीस
गायबगुला	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
छुकछुक	_modifies_noun	ताल-मेल
छकड़ी	_modifies_noun	बिलल्ला
मेक्सिको-वासी	_modifies_noun	ताल-मेल
अनहीकरण	_modifies_noun	उनतालीस
अनुमिति	_modifies_noun	पुष्टता
इडुकी_ज़िला	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
इश्व	_modifies_noun	मानवकृत
उड़िल	_modifies_noun	ताल-मेल
चार_सितारा	_modifies_noun	पुष्टता
अंत्यज	_verb	धाव_पट्टी
धुंधुमार	_modifies_noun	ताल-मेल
कब्र	_modifies_noun	ताल-मेल
कुम्हलाना	_modifies_noun	उनतालीस
अभ्युक्षण	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
ख़ुमार	_modifies_noun	पुष्टता
नदी-घाटी	_modifies_noun	सिन्धुलताग्र
चतरा_ज़िला	_modifies_noun	पुष्टता
हिमाच्छादित	_modifies_noun	मन_लगाना
सैनटोरियम	_modifies_noun	बिलल्ला
पापमोचनी_एकादशी	_modifies_noun	ताल-मेल
उचराई	_modifies_noun	पुष्टता
जीवांतर_लोक	_modifies_noun	ताल-मेल
उच्छृङ्खल	_modifies_noun	पुष्टता
पत्ता_साफ_होना	_modifies_noun	ताल-मेल
जालंधर	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
सहयोग_मिलना	_modifies_noun	बिलल्ला
राशन_कार्ड	_modifies_noun	उनतालीस
फत्वा	_modifies_noun	मूत्रदोष
भबुआ_शहर	_modifies_noun	बिलल्ला
आलङ्ग	_modifies_noun	अभिस्यन्दी
इंस्पेक्टर_जनरल	_modifies_noun	ताल-मेल
गिनी-बिसाउ_गणतंत्र	_modifies_noun	ताल-मेल
दिवसकृत	_modifies_noun	ताल-मेल
कोमल_स्वभावी	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
जगमगाता	_modifies_noun	कुवैतवासी
गोड़ना	_modifies_noun	उनतालीस
बेहरामपोर_शहर	_modifies_noun	सिंधुजा
अहल्या	_modifies_noun	सूरत_जिला
कठफोर	_modifies_noun	रणभूमि
नैतिकतापूर्ण	_modifies_noun	अतृप्त
चाबना	_modifies_noun	पुष्टता
मातुलेय	_modifies_noun	उनतालीस
मैकाक	_modifies_noun	उनतालीस
उच्चाकांक्षी	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
अभ्यासहीन	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
कुरवक	_modifies_noun	पुष्टता
शक्रतरु	_modifies_noun	पुष्टता
कराइकल_जिला	_modifies_noun	उनतालीस
लंगूर	_modifies_noun	बिलल्ला
पुरातत्त्ववेत्ता	_modifies_noun	आबी_रोटी
चित्रदुर्ग_शहर	_modifies_noun	तिरुअनन्तपुरम_जिला
गर्दा	_modifies_noun	पुष्टता
अंगेठी	_modifies_noun	सृंजय
फलविहीन	_modifies_noun	अंधियार_कोठरी
ज्वाइंट_वेंचर	_modifies_noun	पुष्टता
समूहीकरण	_modifies_noun	अतृप्त
जीवाणु_विष	_modifies_noun	पुष्टता
संगणकीकृत	_modifies_noun	पुष्टता
कुसुंभा	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
कमन्द	_modifies_noun	सिन्धुलताग्र
पहलौटी	_modifies_noun	ब्रह्मरेख
तरसना	_modifies_noun	ताल-मेल
रोमराजी	_modifies_noun	पुष्टता
पोस्ट_ग्रेजुएट_इंस्टिट्यूट_ऑफ़_मेडिकल_एजुकेशन_एंड_रिसर्च	_modifies_noun	भगा_देना
लांगल	_modifies_noun	उनतालीस
संवहनी_पादप	_modifies_noun	अतृप्त
जॉइंट_वेंचर	_modifies_noun	उनतालीस
टेलकाम	_modifies_noun	उनतालीस
टैंटलुम	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
पूर्वीघाट	_modifies_noun	मसलन
गेज	_modifies_noun	पुष्टता
भोसड़ा	_modifies_noun	तोतलाहट
आत्म-वंचक	_modifies_noun	पुष्टता
पत्र-पेटी	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
शोलापुर_शहर	_modifies_noun	पुष्टता
कृमिजा	_modifies_noun	उनतालीस
आरोपफलक	_modifies_noun	ब्रह्मरेख
लम्बकर्ण	_verb	अभिरना
गद्देदार	_modifies_noun	अभिस्यन्दी
प्रश्रयी	_modifies_noun	आईआईटी
धन_धन	_modifies_noun	उनतालीस
मर्म	_verb	धाव_पट्टी
100000000000	_verb	धाव_पट्टी
सेंट्रल_स्टटिस्टिकल_ऑफिस	_modifies_noun	पुष्टता
ज़बानबंद	_modifies_noun	काल_सर्प
अलुटना	_modifies_noun	पुष्टता
_जबरदस्ती_करना	_modifies_noun	पब्लिक_प्रॉसिक्यूटर
गुरहना	_modifies_noun	अतृप्त
पृथक_निकालना	_modifies_noun	पुष्टता
पद्मा	_modifies_noun	ब्रह्मरेख
