00002366,_also_see,00002357
00002627,_similar,00002442
00005002,_meronym,00004352
00021564,_meronym,00021562
00004951,_meronym,00025320
00011665,_antonym,00007503
00029189,_also_see,00029183
00008085,_meronym,00000474
00002579,_also_see,00002231
00011802,_also_see,00027765
00001202,_meronym,00001198
00006220,_also_see,00000282
00001118,_also_see,00002239
00021102,_also_see,00021095
00026709,_meronym,00023457
00006358,_also_see,00020284
00027871,_also_see,00003759
00013314,_meronym,00031738
00009231,_meronym,00009232
00015598,_meronym,00000475
00009697,_meronym,00007488
00020136,_also_see,00020134
00006134,_meronym,00000217
00014468,_meronym,00014469
00022113,_also_see,00000861
00002626,_also_see,00002623
00009989,_meronym,00009990
00009267,_meronym,00009268
00012644,_also_see,00012641
00026312,_also_see,00019995
00007097,_meronym,00007096
00001193,_also_see,00002913
00020519,_also_see,00003608
00019086,_meronym,00005714
00034113,_antonym,00011859
00006091,_also_see,00003367
00004684,_also_see,00003735
00019627,_also_see,00019623
00026320,_also_see,00000315
00005395,_also_see,00002551
00015451,_meronym,00015452
00037739,_also_see,00000196
00010534,_meronym,00000346
00003448,_derived_from,00003858
00018209,_also_see,00018207
00001140,_also_see,00003051
00004247,_meronym,00004273
00003917,_also_see,00007569
00006005,_also_see,00005060
00022573,_meronym,00022575
00000215,_meronym,00003045
00002579,_antonym,00004147
00012249,_meronym,00012283
00020254,_also_see,00020251
00019315,_also_see,00019312
00000032,_antonym,00004634
00019373,_also_see,00014733
00022874,_also_see,00017847
00014973,_also_see,00014951
00002299,_also_see,00000045
00000346,_meronym,00005732
00009831,_also_see,00001930
00008420,_meronym,00038595
00010268,_also_see,00002650
00008835,_meronym,00000217
00004001,_meronym,00004441
00000270,_antonym,00001909
00001665,_meronym,00004508
00037924,_meronym,00037925
00004789,_also_see,00004784
00016653,_also_see,00016650
00025467,_meronym,00012556
00015787,_meronym,00001249
00005606,_antonym,00002233
00003570,_antonym,00003555
00009166,_also_see,00001961
00020333,_meronym,00020334
00033600,_also_see,00010165
00015644,_meronym,00004290
00009249,_meronym,00000470
00000663,_antonym,00000669
00004634,_antonym,00000032
00033592,_meronym,00033593
00003538,_antonym,00001403
00009937,_also_see,00010957
00004115,_troponym,00003295
00005204,_also_see,00006945
00000248,_antonym,00002411
00009669,_meronym,00009609
00000115,_also_see,00000689
00013361,_also_see,00013360
00000855,_derived_from,00006768
00003627,_meronym,00039077
00027043,_meronym,00004683
00012672,_derived_from,00003942
00019429,_meronym,00004772
00001231,_meronym,00001735
00020169,_also_see,00020167
00008381,_also_see,00001973
00013290,_meronym,00000196
00000316,_meronym,00000708
00000266,_also_see,00002014
00004607,_also_see,00004609
00021732,_meronym,00005186
00005643,_meronym,00003342
00000206,_meronym,00000356
00019013,_gradation,00019014
00004936,_meronym,00009909
00040232,_antonym,00035469
00018165,_also_see,00013744
00016157,_meronym,00019860
00010912,_also_see,00010808
00012776,_causative,00012777
00001359,_also_see,00002960
00004978,_meronym,00000196
00021096,_meronym,00019400
00021607,_meronym,00021606
00006067,_meronym,00004722
00009983,_antonym,00008413
00006531,_meronym,00005207
00005087,_meronym,00004273
00003209,_also_see,00002690
00002412,_also_see,00000789
00003556,_also_see,00003022
00017756,_meronym,00004273
00001326,_antonym,00006803
00003627,_meronym,00003952
00016989,_meronym,00000472
00018974,_also_see,00001799
00018380,_antonym,00018390
00020219,_also_see,00020215
00017224,_also_see,00004721
00013799,_also_see,00009039
00011859,_antonym,00034113
00008172,_antonym,00002502
00006980,_antonym,00006381
00015470,_also_see,00015468
00017935,_antonym,00003946
00013635,_also_see,00002260
00012912,_meronym,00004273
00010299,_meronym,00000475
00001115,_antonym,00002237
00021568,_meronym,00021567
00006878,_also_see,00000858
00003747,_also_see,00000652
00025467,_meronym,00025475
00007860,_compound,00004441
00026237,_also_see,00002189
00001344,_also_see,00020934
00003265,_meronym,00003560
00013514,_meronym,00013520
00006505,_meronym,00007260
00034466,_antonym,00034468
00006351,_antonym,00007523
00000536,_antonym,00001999
00002665,_meronym,00020695
00005073,_also_see,00005065
00040194,_derived_from,00036698
00020357,_meronym,00006639
00008946,_also_see,00012082
00004556,_derived_from,00005972
00009407,_antonym,00011317
00000399,_meronym,00004286
00007173,_also_see,00007260
00021651,_meronym,00021650
00012847,_also_see,00012881
00008413,_antonym,00009983
00005997,_meronym,00001471
00012101,_meronym,00004273
00001208,_antonym,00001207
00017906,_antonym,00003217
00009290,_also_see,00002549
00020126,_also_see,00005900
00004020,_also_see,00000269
00022052,_meronym,00006138
00012271,_also_see,00000046
00013016,_meronym,00001647
00018452,_meronym,00005714
00005857,_meronym,00005862
00013726,_also_see,00005342
00018437,_also_see,00016201
00009527,_meronym,00000346
00002644,_also_see,00002947
00019884,_meronym,00020823
00000467,_meronym,00002690
00003419,_similar,00003066
00018682,_also_see,00010892
00012763,_antonym,00001680
00007513,_also_see,00003152
00014818,_meronym,00002888
00018429,_also_see,00011136
00000206,_meronym,00000352
00019811,_also_see,00019809
00003277,_antonym,00002751
00021816,_meronym,00005155
00030974,_also_see,00009661
00031602,_also_see,00001957
00013929,_also_see,00006946
00003185,_meronym,00001930
00021228,_meronym,00021227
00040086,_derived_from,00010774
00019862,_meronym,00019863
00034183,_also_see,00013160
00004415,_meronym,00012488
00000970,_antonym,00000969
00011689,_also_see,00004172
00007946,_also_see,00002551
00037114,_antonym,00037108
00029101,_meronym,00003462
00019747,_also_see,00002025
00006690,_meronym,00000346
00020684,_also_see,00020680
00001305,_antonym,00001313
00025498,_also_see,00000973
00012411,_meronym,00012412
00018816,_meronym,00000748
00034468,_antonym,00034466
00010693,_antonym,00002803
00008215,_also_see,00002035
00005871,_causative,00025610
00000542,_also_see,00002639
00003534,_meronym,00001249
00030343,_also_see,00012718